model,prompt_id,ring,animal,vehicle,sample,has_svg,rendered,attempts,feat_animal,feat_vehicle,feat_facing,feat_elements,animal_rating__openai__gpt-5.6-luna,vehicle_rating__openai__gpt-5.6-luna,action_rating__openai__gpt-5.6-luna,animal_rating,vehicle_rating,action_rating,overall
anthropic/claude-sonnet-5,antelope-bicycle,1,antelope,bicycle,0,True,True,1,deer,bicycle,left,['line'],4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,antelope-bicycle,1,antelope,bicycle,1,True,True,1,antelope,bicycle,left,['ground'],4,4,3,4.0,4.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,antelope-bicycle,1,antelope,bicycle,2,True,True,1,deer,bicycle,right,['ground'],4,3,2,4.0,3.0,2.0,3.0
anthropic/claude-sonnet-5,antelope-boat,1,antelope,boat,0,True,True,1,antelope,sailboat,left,"['sun', 'sky', 'water']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,antelope-boat,1,antelope,boat,1,True,True,1,antelope,boat,right,"['cloud', 'sun', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,antelope-boat,1,antelope,boat,2,True,True,1,antelope,boat,right,"['sun', 'cloud', 'water', 'sky']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,antelope-plane,1,antelope,plane,0,True,True,1,gazelle,,right,"['sun', 'grass']",5,1,1,5.0,1.0,1.0,2.3333333333333335
anthropic/claude-sonnet-5,antelope-plane,1,antelope,plane,1,True,True,1,antelope,,right,"['sun', 'grass']",4,1,1,4.0,1.0,1.0,2.0
anthropic/claude-sonnet-5,antelope-plane,1,antelope,plane,2,True,True,1,antelope,,left,"['cloud', 'sun', 'ground']",5,1,2,5.0,1.0,2.0,2.6666666666666665
anthropic/claude-sonnet-5,antelope-scooter,1,antelope,scooter,0,True,True,1,antelope,scooter,right,"['ground', 'motion line']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,antelope-scooter,1,antelope,scooter,1,True,True,1,antelope,scooter,right,"['ground', 'line']",5,5,3,5.0,5.0,3.0,4.333333333333333
anthropic/claude-sonnet-5,antelope-scooter,1,antelope,scooter,2,True,True,1,antelope,scooter,right,['line'],3,5,4,3.0,5.0,4.0,4.0
anthropic/claude-sonnet-5,antelope-skateboard,1,antelope,skateboard,0,True,True,1,deer,skateboard,right,"['line', 'dash']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,antelope-skateboard,1,antelope,skateboard,1,True,True,1,antelope,skateboard,left,"['line', 'motion']",5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,antelope-skateboard,1,antelope,skateboard,2,True,True,1,antelope,skateboard,left,['line'],4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,antelope-unicycle,1,antelope,unicycle,0,True,True,1,antelope,unicycle,left,['line'],4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,antelope-unicycle,1,antelope,unicycle,1,True,True,1,antelope,unicycle,left,"['cloud', 'ground']",5,3,5,5.0,3.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,antelope-unicycle,1,antelope,unicycle,2,True,True,1,gazelle,unicycle,right,['line'],3,3,4,3.0,3.0,4.0,3.3333333333333335
anthropic/claude-sonnet-5,cat-bicycle,1,cat,bicycle,0,True,True,1,cat,bicycle,left,['ground'],5,3,4,5.0,3.0,4.0,4.0
anthropic/claude-sonnet-5,cat-bicycle,1,cat,bicycle,1,True,True,1,cat,bicycle,ambiguous,['ground'],5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,cat-bicycle,1,cat,bicycle,2,True,True,1,cat,bicycle,right,['ground'],5,5,3,5.0,5.0,3.0,4.333333333333333
anthropic/claude-sonnet-5,cat-boat,1,cat,boat,0,True,True,1,cat,sailboat,ambiguous,"['cloud', 'sun', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,cat-boat,1,cat,boat,1,True,True,1,cat,sailboat,ambiguous,"['sun', 'sky', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,cat-boat,1,cat,boat,2,True,True,1,cat,sailboat,ambiguous,"['sun', 'cloud', 'water', 'sky']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,cat-plane,1,cat,plane,0,True,True,1,cat,airplane,ambiguous,"['cloud', 'sun']",5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,cat-plane,1,cat,plane,1,True,True,1,cat,airplane,ambiguous,"['cloud', 'sky']",5,5,4,5.0,5.0,4.0,4.666666666666667
anthropic/claude-sonnet-5,cat-plane,1,cat,plane,2,True,True,1,cat,airplane,ambiguous,"['cloud', 'sky']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,cat-scooter,1,cat,scooter,0,True,True,1,cat,scooter,right,['line'],4,5,3,4.0,5.0,3.0,4.0
anthropic/claude-sonnet-5,cat-scooter,1,cat,scooter,1,True,True,1,cat,scooter,ambiguous,['line'],4,5,3,4.0,5.0,3.0,4.0
anthropic/claude-sonnet-5,cat-scooter,1,cat,scooter,2,True,True,1,cat,scooter,ambiguous,['line'],5,5,3,5.0,5.0,3.0,4.333333333333333
anthropic/claude-sonnet-5,cat-skateboard,1,cat,skateboard,0,True,True,1,cat,skateboard,ambiguous,"['ground', 'motion line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,cat-skateboard,1,cat,skateboard,1,True,True,1,cat,skateboard,ambiguous,"['ground', 'line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,cat-skateboard,1,cat,skateboard,2,True,True,1,cat,skateboard,left,"['line', 'ground']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,cat-unicycle,1,cat,unicycle,0,True,True,1,cat,unicycle,ambiguous,['line'],5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,cat-unicycle,1,cat,unicycle,1,True,True,1,cat,unicycle,ambiguous,['line'],5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,cat-unicycle,1,cat,unicycle,2,True,True,1,cat,unicycle,ambiguous,[],5,5,4,5.0,5.0,4.0,4.666666666666667
anthropic/claude-sonnet-5,flamingo-bicycle,1,flamingo,bicycle,0,True,True,1,flamingo,bicycle,left,['ground'],4,3,4,4.0,3.0,4.0,3.6666666666666665
anthropic/claude-sonnet-5,flamingo-bicycle,1,flamingo,bicycle,1,True,True,1,flamingo,bicycle,right,"['sun', 'sky', 'grass']",4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,flamingo-bicycle,1,flamingo,bicycle,2,True,True,1,flamingo,bicycle,left,['ground'],4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,flamingo-boat,1,flamingo,boat,0,True,True,1,flamingo,boat,right,"['sun', 'cloud', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,flamingo-boat,1,flamingo,boat,1,True,True,1,flamingo,boat,left,"['cloud', 'sun', 'water', 'sky']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-boat,1,flamingo,boat,2,True,True,1,flamingo,boat,left,"['sun', 'cloud', 'sky', 'water', 'sail']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-plane,1,flamingo,plane,0,True,True,1,flamingo,,left,"['sun', 'sky', 'water']",4,1,1,4.0,1.0,1.0,2.0
anthropic/claude-sonnet-5,flamingo-plane,1,flamingo,plane,1,True,True,1,flamingo,,left,"['sun', 'sky', 'water']",4,1,1,4.0,1.0,1.0,2.0
anthropic/claude-sonnet-5,flamingo-plane,1,flamingo,plane,2,True,True,1,flamingo,,left,"['cloud', 'sun', 'pond', 'grass']",4,1,1,4.0,1.0,1.0,2.0
anthropic/claude-sonnet-5,flamingo-scooter,1,flamingo,scooter,0,True,True,1,flamingo,scooter,right,"['helmet', 'line']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-scooter,1,flamingo,scooter,1,True,True,1,flamingo,scooter,right,"['ground', 'dash']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-scooter,1,flamingo,scooter,2,True,True,1,flamingo,scooter,right,['line'],4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-skateboard,1,flamingo,skateboard,0,True,True,1,flamingo,skateboard,left,"['sky', 'grass', 'mark']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-skateboard,1,flamingo,skateboard,1,True,True,1,flamingo,skateboard,left,"['sky', 'ground', 'line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,flamingo-skateboard,1,flamingo,skateboard,2,True,True,1,flamingo,skateboard,left,['line'],4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,flamingo-unicycle,1,flamingo,unicycle,0,True,True,1,flamingo,unicycle,right,"['sun', 'ground']",4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,flamingo-unicycle,1,flamingo,unicycle,1,True,True,1,flamingo,unicycle,right,['line'],4,4,5,4.0,4.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,flamingo-unicycle,1,flamingo,unicycle,2,True,True,1,flamingo,unicycle,left,[],3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,heron-bicycle,1,heron,bicycle,0,True,True,1,ostrich,bicycle,left,"['sky', 'grass']",5,4,4,5.0,4.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,heron-bicycle,1,heron,bicycle,1,True,True,1,bird,bicycle,right,['line'],5,4,4,5.0,4.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,heron-bicycle,1,heron,bicycle,2,True,True,1,bird,bicycle,right,"['sun', 'ground']",5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,heron-boat,1,heron,boat,0,True,True,1,bird,sailboat,right,"['sun', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,heron-boat,1,heron,boat,1,True,True,1,bird,boat,right,"['cloud', 'sun', 'water']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,heron-boat,1,heron,boat,2,True,True,1,bird,boat,left,"['sun', 'water', 'reflection']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,heron-plane,1,heron,plane,0,True,True,1,heron,,right,"['sun', 'bird', 'grass', 'pond']",5,1,1,5.0,1.0,1.0,2.3333333333333335
anthropic/claude-sonnet-5,heron-plane,1,heron,plane,1,True,True,1,heron,,right,"['sun', 'grass', 'pond']",5,1,1,5.0,1.0,1.0,2.3333333333333335
anthropic/claude-sonnet-5,heron-plane,1,heron,plane,2,True,True,1,bird,,left,"['sun', 'bird', 'grass', 'pond']",4,1,1,4.0,1.0,1.0,2.0
anthropic/claude-sonnet-5,heron-scooter,1,heron,scooter,0,True,True,1,ostrich,scooter,left,"['ground', 'dash']",5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,heron-scooter,1,heron,scooter,1,True,True,1,bird,scooter,right,"['sky', 'ground']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,heron-scooter,1,heron,scooter,2,True,True,1,ostrich,scooter,right,"['ground', 'sky']",4,5,3,4.0,5.0,3.0,4.0
anthropic/claude-sonnet-5,heron-skateboard,1,heron,skateboard,0,True,True,1,bird,skateboard,left,"['line', 'shadow']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,heron-skateboard,1,heron,skateboard,1,True,True,1,bird,skateboard,right,"['line', 'dash']",4,4,5,4.0,4.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,heron-skateboard,1,heron,skateboard,2,True,True,1,bird,skateboard,right,"['ground', 'motion line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,heron-unicycle,1,heron,unicycle,0,True,True,1,heron,unicycle,right,['ground'],5,3,5,5.0,3.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,heron-unicycle,1,heron,unicycle,1,True,True,1,heron,unicycle,right,['ground'],5,3,5,5.0,3.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,heron-unicycle,1,heron,unicycle,2,True,True,1,bird,unicycle,right,['ground'],4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,otter-bicycle,1,otter,bicycle,0,True,True,1,bear,bicycle,right,['ground'],4,4,3,4.0,4.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,otter-bicycle,1,otter,bicycle,1,True,True,1,otter,bicycle,ambiguous,['ground'],3,5,4,3.0,5.0,4.0,4.0
anthropic/claude-sonnet-5,otter-bicycle,1,otter,bicycle,2,True,True,1,otter,bicycle,ambiguous,"['sun', 'ground', 'motion line']",5,4,4,5.0,4.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,otter-boat,1,otter,boat,0,True,True,1,otter,boat,ambiguous,"['paddle', 'water', 'sky']",5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,otter-boat,1,otter,boat,1,True,True,1,beaver,boat,ambiguous,"['sun', 'cloud', 'paddle', 'water']",5,5,5,5.0,5.0,5.0,5.0
